# cp [..cp] ; SVOsimple ; MVOsimple
2125 ; U ; U # [[http://www.textcreationpartnership.org/docs/dox/medical.html|Apothecary measure]], keep consistent with digits and 'LATIN CAPITAL LETTER EZH' (U+01B7)
2126 ; U ; U # EA compatibility unit is upright. :?: NFC-folds to omega
2127 ; U ; U # Used for inverse of ohm. Keep consistent with U+2126
2128 ; U ; U # Match other math letters
2129 ; U ; U # Logic symbol, match math.
212A ; U ; U # EA compatibility unit is upright. :?: NFC-folds to K
212B ; U ; U # EA compatibility unit is upright. :?: NFC-folds to Aring
212C ; U ; U # Part of mathematical script set
212D ; U ; U # Match other math letters
212E ; U ; U # [[http://www.evertype.com/standards/euro/estimated/|used with package labelling]]
212F..2131 ; U ; U # Part of mathematical script set
2132 ; U ; U # [[http://en.wikipedia.org/wiki/Claudian_letters|Claudian]] must match Latin
2133..2134 ; U ; U # Part of mathematical script set
2135..2138 ; U ; U # Math symbol
2139 ; U ; U # Symbolic, not math
213A ; U ; U # [[http://blogs.msdn.com/b/michkap/archive/2005/01/10/349769.aspx|binding mark]], keep consistent with symbols U+203B, U+2720, U+2767
213B ; U ; U # Symbol; sensible to be upright
213C..213F ; U ; U # Part of mathematical double-struck set
2140..2144 ; U ; R
2145..2149 ; U ; U # Part of mathematical double-struck set
214A ; U ; U # Architectural symbol?
214B ; U ; R
214C ; U ; U # :?: What is this???
214D ; U ; U # Same as c/o
214E ; U ; U # [[http://en.wikipedia.org/wiki/Claudian_letters|Claudian]] must match Latin
214F ; U ; U # :?: Symbols are upright. How is this letterlike anyway?
2150..218F ; U ; U
2190..2194 ; U ; R
2195..2199 ; U ; R # #arrows
219A..219B ; U ; R
219C..219F ; U ; R # #arrows
21A0 ; U ; R
21A1..21A2 ; U ; R # #arrows
21A3 ; U ; R
21A4..21A5 ; U ; R # #arrows
21A6 ; U ; R
21A7..21AD ; U ; R # #arrows
21AE ; U ; R
21AF..21CD ; U ; R # #arrows
21CE..21CF ; U ; R
21D0..21D1 ; U ; R # #arrows
21D2 ; U ; R
21D3 ; U ; R # #arrows
21D4 ; U ; R
21D5..21F3 ; U ; R # #arrows
21F4..2233 ; U ; R
2234..2235 ; U ; R # :?: EAW=A and oftentimes used in regular text
2236..2241 ; U ; R
2242..228B ; U ; R # :?: Relational operator
228C..22AF ; U ; R
22B0..22B5 ; U ; R # :?: Relational operator
22B6..22D4 ; U ; R
22D5..22ED ; U ; R # :?: Relational operator
22EE..22FF ; U ; R
2300..2307 ; U ; U
2308..230B ; U ; R
230C..231F ; U ; U
2320..2321 ; U ; R # Stacked symbols are always sideways
2322..2328 ; U ; U
2329..232A ; R ; R # Brackets are sideways to enclose their text
232B ; U ; U
232C..237C ; U ; R
237D..239A ; U ; U
